	MGI_ID	ENTREZ_ID
602	MGI:1313258	20556
603	MGI:1329005	20557
604	MGI:1889206	54353
605	MGI:1922045	269033
606	MGI:2146005	105837
607	MGI:3779983	672682
608	MGI:1277184	52392
609	MGI:1916348	65963
610	MGI:1913308	66058
611	MGI:2444126	320482
612	MGI:1916138	68888
613	MGI:1920982	73732
614	MGI:1344387	23873
615	MGI:3619406	723914
616	MGI:3629659	735283
617	MGI:4887388	100579137
618	MGI:3783373	100316783
619	MGI:1920247	72997
620	MGI:2136762	93895
621	MGI:3801771	100504267
622	MGI:1921436	74186
623	MGI:2147968	102991
624	MGI:1934368	84544
625	MGI:2152389	117198
626	MGI:1913367	66117
627	MGI:1931797	80986
628	MGI:1921624	74374
629	MGI:1860140	56057
630	MGI:2384836	212547
631	MGI:1934030	668253
632	MGI:2686178	383766
633	MGI:1921597	74347
634	MGI:1927238	64144
635	MGI:107776	17873
636	MGI:3629622	735258
637	MGI:3629609	735272
638	MGI:3629611	735256
639	MGI:4834281	100526535
640	MGI:4834282	100526483
641	MGI:4834283	100526485
642	MGI:4834286	100526536
643	MGI:4834288	100526489
644	MGI:4834290	100526491
645	MGI:4834293	100526494
646	MGI:1916111	68861
647	MGI:1924674	77424
648	MGI:1924750	233977
649	MGI:104857	19208
650	MGI:2443180	320019
651	MGI:2676626	382209
652	MGI:1926784	56370
653	MGI:108038	14659
654	MGI:2443398	208258
655	MGI:1915440	68190
657	MGI:1917193	231798
658	MGI:1920933	73683
659	MGI:894662	22360
660	MGI:107854	27886
661	MGI:1927065	63955
662	MGI:2148865	114255
670	MGI:1351502	18141
671	MGI:2444886	330166
676	MGI:1202390	19289
677	MGI:1923760	76510
678	MGI:1924079	76829
679	MGI:2443132	239393
680	MGI:2685427	100039953
682	MGI:104658	21331
683	MGI:1917329	105348
684	MGI:2153839	12807
685	MGI:2655574	14628
686	MGI:2443955	320398
689	MGI:2444417	225608
690	MGI:2144114	544752
691	MGI:2385061	225004
695	MGI:2159344	229658
696	MGI:1924823	77573
697	MGI:1328316	12522
698	MGI:1858197	53317
699	MGI:1347004	26390
700	MGI:1916784	69534
701	MGI:1921591	380705
702	MGI:3619338	723840
703	MGI:3642232	100043254
704	MGI:2389177	216028
705	MGI:3588267	381809
706	MGI:1916557	69307
707	MGI:1915731	68481
708	MGI:2155345	140709
709	MGI:1913425	66175
710	MGI:1349457	26943
711	MGI:3652259	100313531
712	MGI:1347251	26438
713	MGI:1918546	71296
714	MGI:2144474	104570
715	MGI:1915984	68734
716	MGI:1920420	66568
717	MGI:104716	18111
718	MGI:1321404	17084
719	MGI:1914438	67188
720	MGI:2685862	630146
721	MGI:1919539	72289
722	MGI:4950394	100628606
723	MGI:1915009	67759
724	MGI:2145557	105418
725	MGI:2444854	320844
726	MGI:3605040	378937
727	MGI:2444651	320747
728	MGI:2442298	242384
729	MGI:106038	16979
730	MGI:2145995	105827
731	MGI:106036	16981
732	MGI:1196419	72278
733	MGI:2180008	70252
734	MGI:1913438	55942
735	MGI:1891321	503692
736	MGI:2443217	320038
737	MGI:1926210	60411
738	MGI:3718531	100124465
739	MGI:1329015	18020
740	MGI:2180697	170742
741	MGI:1343132	19018
742	MGI:1916700	71912
743	MGI:2443409	217143
744	MGI:103032	20255
745	MGI:1917583	70333
746	MGI:1923965	68107
747	MGI:1914430	67180
748	MGI:1914659	383348
749	MGI:2443804	243043
750	MGI:5440479	101101691
751	MGI:3646642	620235
752	MGI:1917819	225348
753	MGI:1932127	56299
754	MGI:1917858	238386
755	MGI:2154090	140559
756	MGI:2676888	387208
757	MGI:1919985	72735
758	MGI:3579898	434768
759	MGI:1353471	104103
760	MGI:2676821	387154
761	MGI:5564803	102636083
762	MGI:2685664	98452
763	MGI:3780541	100039691
764	MGI:1913547	66297
765	MGI:3719617	100124640
767	MGI:5477181	102639566
771	MGI:1915124	67874
772	MGI:1925118	100043902
774	MGI:107208	15397
775	MGI:1890651	93871
776	MGI:3045303	333639
777	MGI:1345156	23885
778	MGI:1344382	433375
779	MGI:99444	27528
780	MGI:1915452	68202
781	MGI:94880	13216
782	MGI:97977	19850
783	MGI:1917114	69864
784	MGI:5451830	115488394
785	MGI:5454564	115485973
786	MGI:5454815	115486003
787	MGI:1349458	26930
788	MGI:1923933	76683
789	MGI:3811414	100316772
790	MGI:3039625	193217
791	MGI:5452831	115489857
792	MGI:2144664	97730
793	MGI:3642765	100038694
795	MGI:3642746	100126546
799	MGI:3642882	791405
800	MGI:3629655	735285
801	MGI:1338008	100504486
802	MGI:3763743	83673
803	MGI:2676891	387211
804	MGI:1925604	78354
805	MGI:1918319	71069
806	MGI:95659	14455
807	MGI:1329010	20558
808	MGI:98912	22268
809	MGI:1913534	66284
810	MGI:1916377	433904
811	MGI:3034182	433470
812	MGI:1346088	23833
813	MGI:3645398	631797
816	MGI:2443016	99899
817	MGI:3045722	245386
818	MGI:2444389	268567
819	MGI:2685867	635702
820	MGI:3629886	751537
826	MGI:1919324	72074
827	MGI:1330349	20760
828	MGI:1330346	20759
829	MGI:1330352	20756
830	MGI:2444207	320528
831	MGI:3629673	735267
832	MGI:1926079	78829
833	MGI:1919283	72033
834	MGI:3629883	751536
835	MGI:2676867	387241
837	MGI:3796554	100170401
838	MGI:1337998	14550
839	MGI:1338007	14553
840	MGI:1338064	14554
841	MGI:1337997	14551
842	MGI:1337996	14552
843	MGI:1338001	14547
844	MGI:1338002	14545
846	MGI:95595	14349
847	MGI:1925762	78512
848	MGI:1921851	74601
849	MGI:1922001	381232
850	MGI:1915358	68108
851	MGI:1923915	100503636
852	MGI:1918676	100503199
853	MGI:1917444	70194
854	MGI:1917214	69964
855	MGI:1916897	381792
856	MGI:3642813	100038659
857	MGI:3641949	100038614
858	MGI:1917407	70157
859	MGI:3583899	606735
860	MGI:1917970	70720
861	MGI:3649118	667933
862	MGI:1923207	75957
863	MGI:2441779	319269
864	MGI:2140929	433855
865	MGI:1917286	70036
866	MGI:1914348	100042498
867	MGI:3642289	677289
868	MGI:97824	19296
869	MGI:1341907	14221
870	MGI:1921402	74152
871	MGI:1353654	30930
872	MGI:1098244	11769
873	MGI:1922374	75124
886	MGI:2676913	387230
887	MGI:1913790	66540
888	MGI:2676826	387159
889	MGI:2183153	192190
890	MGI:3619368	723850
891	MGI:2672814	260301
892	MGI:3618743	723891
893	MGI:98937	22363
894	MGI:2676798	387252
895	MGI:2676799	387253
896	MGI:2676843	387134
897	MGI:2676794	387245
898	MGI:2676805	387231
899	MGI:1861674	56802
900	MGI:1858730	53330
901	MGI:2387591	213827
902	MGI:1351332	27215
903	MGI:3614797	622473
904	MGI:3618751	723822
905	MGI:3618752	723924
906	MGI:1202886	17263
907	MGI:3711323	100049710
908	MGI:2676816	387149
909	MGI:3619266	723926
910	MGI:3691603	791070
911	MGI:3619437	723884
912	MGI:3618737	723819
913	MGI:3709847	100049549
914	MGI:1196463	319448
915	MGI:2384586	233912
916	MGI:1913728	673094
917	MGI:3618711	723953
919	MGI:2673128	232685
920	MGI:2679446	76965
922	MGI:1914130	66880
923	MGI:1929938	64058
924	MGI:1914372	67122
925	MGI:2676844	387135
926	MGI:3629918	751549
927	MGI:2676872	387139
928	MGI:3619065	723905
929	MGI:3629917	751527
931	MGI:1920942	73692
932	MGI:1916177	68927
933	MGI:1918771	71521
934	MGI:2442827	544696
935	MGI:1926387	57810
936	MGI:2443727	320277
937	MGI:1344394	23928
938	MGI:2138446	245860
939	MGI:1914703	67453
940	MGI:2444989	214585
941	MGI:1918953	71703
942	MGI:2389007	244653
943	MGI:1923566	109065
944	MGI:1924029	76779
945	MGI:1916626	69376
946	MGI:1922390	75140
947	MGI:2676852	387183
948	MGI:3642509	791364
949	MGI:95480	14088
950	MGI:1346525	24052
951	MGI:3618729	723955
953	MGI:2684993	231162
954	MGI:1344403	23837
955	MGI:2676842	387175
956	MGI:2676819	387152
957	MGI:103569	22439
958	MGI:3619412	723870
959	MGI:2676906	387224
960	MGI:3619057	723892
961	MGI:2676912	387229
962	MGI:3619405	723867
963	MGI:2676905	387223
964	MGI:3619047	723963
965	MGI:2676822	387155
966	MGI:3619435	723883
967	MGI:2676879	387200
968	MGI:3619442	723967
969	MGI:3619443	723968
970	MGI:2676908	387226
971	MGI:2144805	104799
972	MGI:1916577	69327
973	MGI:1926471	60534
974	MGI:3619329	723836
975	MGI:3619064	723893
976	MGI:2676907	387225
977	MGI:3619058	723824
978	MGI:3619059	723825
979	MGI:3718577	100124470
980	MGI:2676856	387187
981	MGI:3619129	723894
982	MGI:2676855	387186
983	MGI:2676802	387251
984	MGI:3629649	735262
985	MGI:2676841	387174
986	MGI:3691607	791073
987	MGI:2448558	237211
988	MGI:3619347	723908
989	MGI:2676840	387173
990	MGI:3718546	100124488
991	MGI:3619426	723878
992	MGI:3619324	723834
993	MGI:3619330	723895
994	MGI:3619454	723922
995	MGI:2684360	723814
996	MGI:2676827	387160
997	MGI:2676831	387164
998	MGI:2676797	387248
999	MGI:3629959	751535
1000	MGI:2676809	387235
1001	MGI:3718549	100124451
1002	MGI:3619423	723876
1003	MGI:2676833	387166
1004	MGI:2676811	387145
1005	MGI:2676859	387190
1006	MGI:2676874	387242
1007	MGI:3619269	723906
1008	MGI:3624350	723976
1009	MGI:3619365	723932
1010	MGI:2676894	387214
1011	MGI:3619120	723829
1012	MGI:3618739	723958
1013	MGI:2676860	387191
1014	MGI:3618748	723923
1015	MGI:3619367	723910
1016	MGI:3619333	723907
1017	MGI:3619066	723827
1018	MGI:3619118	723828
1019	MGI:2676793	387244
1020	MGI:3619345	724063
1021	MGI:3619439	723885
1022	MGI:3619060	723925
1023	MGI:3618735	723890
1024	MGI:2676817	387150
1025	MGI:1930666	56295
1026	MGI:3619386	723858
1027	MGI:3619332	723838
1028	MGI:3618753	723823
1029	MGI:3618754	723904
1030	MGI:1921291	74041
1031	MGI:5595882	328066
1032	MGI:3619358	723909
1033	MGI:3618742	723821
1034	MGI:2676863	387194
1035	MGI:3619396	723862
1036	MGI:3629589	735252
1037	MGI:2676845	387176
1038	MGI:2676904	387222
1039	MGI:3619361	723946
1040	MGI:3711326	100049714
1041	MGI:2676893	387213
1042	MGI:3618750	723944
1043	MGI:2676886	387206
1044	MGI:3618690	723949
1045	MGI:3619398	723863
1046	MGI:3619438	723942
1047	MGI:3619377	723855
1048	MGI:3619374	723933
1049	MGI:2676835	387168
1050	MGI:2676902	387220
1051	MGI:3639505	735309
1052	MGI:3619407	723868
1053	MGI:3619364	723849
1054	MGI:3718458	100124432
1055	MGI:2676868	387195
1056	MGI:2676812	387146
1057	MGI:3619335	723896
1058	MGI:3629612	735286
1059	MGI:3719571	100124624
1060	MGI:3719572	100124642
1061	MGI:3719573	100124625
1062	MGI:3719574	100124626
1063	MGI:3719576	100124627
1064	MGI:3719577	100526553
1065	MGI:3719578	100124643
1066	MGI:4834294	100526554
1067	MGI:4834296	100526539
1068	MGI:2676880	387201
1069	MGI:3618718	723954
1070	MGI:2676818	387151
1071	MGI:2676875	387243
1072	MGI:3619436	723902
1073	MGI:3619049	723965
1074	MGI:2676909	387227
1075	MGI:3619048	723964
1076	MGI:3618736	723903
1077	MGI:3629945	751550
1078	MGI:3619063	723826
1079	MGI:2676901	387219
1080	MGI:2676898	387217
1081	MGI:2676910	387228
1082	MGI:2676825	387158
1083	MGI:2676839	387172
1084	MGI:3618696	724062
1085	MGI:2676883	387204
1086	MGI:2676900	387218
1087	MGI:3619045	723962
1088	MGI:2676896	387141
1089	MGI:3617791	723889
1090	MGI:2158560	28135
1091	MGI:1918239	70989
1092	MGI:1923089	71227
1093	MGI:1289263	51938
1094	MGI:2429770	217011
1095	MGI:1922184	74934
1096	MGI:2146906	106633
1097	MGI:1916625	224671
1098	MGI:2384924	216527
1099	MGI:1343184	209086
1100	MGI:1350360	27027
1101	MGI:88330	12493
1102	MGI:1341264	21983
1103	MGI:2676796	387247
1104	MGI:3718803	100190765
1105	MGI:2144467	216560
1106	MGI:2685024	234740
1107	MGI:2387217	245866
1108	MGI:2443231	213081
1109	MGI:92638	28146
1110	MGI:1341171	16840
1111	MGI:1859553	54562
1112	MGI:1922995	75745
1113	MGI:104745	20370
1114	MGI:2686271	403187
1115	MGI:3718557	100124454
1116	MGI:2444846	320840
1117	MGI:2676823	387156
1118	MGI:3618733	723956
1119	MGI:2685728	380709
1120	MGI:1924407	226162
1121	MGI:2384210	260305
1122	MGI:2140475	100317
1123	MGI:2444304	271564
1126	MGI:1098783	14787
1127	MGI:1915842	68592
1128	MGI:2676878	387199
1129	MGI:2442197	268755
1130	MGI:1917887	232339
1131	MGI:1341823	14087
1132	MGI:2679448	75409
1133	MGI:1917485	70235
1134	MGI:2157767	170656
1135	MGI:1924337	77087
1136	MGI:3618746	723959
1137	MGI:2385159	228788
1138	MGI:1929260	56428
1139	MGI:3826586	100503872
1141	MGI:1196370	100039795
1142	MGI:2181067	66720
1144	MGI:1914403	67153
1145	MGI:1915086	67836
1146	MGI:107935	16206
1147	MGI:104814	15937
1148	MGI:1919815	72565
1149	MGI:2387356	217039
1150	MGI:1914470	67220
1151	MGI:2137383	94109
1152	MGI:2384760	192653
1153	MGI:2443113	319984
1154	MGI:2443198	239250
1156	MGI:3619352	723844
1157	MGI:2389173	74342
1159	MGI:97454	18431
1160	MGI:107932	407785
1161	MGI:98914	22270
1162	MGI:1931086	80385
1163	MGI:3779933	671232
1164	MGI:1913862	66612
1165	MGI:3629709	735280
1166	MGI:2385095	226154
1168	MGI:95891	14955
1169	MGI:1858306	51795
1170	MGI:3618720	723817
1171	MGI:1919257	72007
1172	MGI:1914305	554327
1173	MGI:1915509	68259
1174	MGI:2136882	71446
1175	MGI:3622649	545378
1176	MGI:1917202	69952
1177	MGI:2675859	218914
1178	MGI:1921381	74131
1179	MGI:1923733	76483
1180	MGI:1926014	71999
1181	MGI:1929095	56041
1182	MGI:99543	664829
1183	MGI:2687328	382301
1185	MGI:2388072	229277
1186	MGI:1338057	13972
1187	MGI:2685815	381229
1189	MGI:1194909	22092
1190	MGI:2136171	93736
1192	MGI:1338756	21830
1193	MGI:1918112	70862
1194	MGI:2445092	195434
1195	MGI:1915393	80517
